age,job,marital,education,default,balance,housing,loan,contact,day,duration,campaign,previous,poutcome,deposit,job_was_unknown,education_was_unknown,contact_was_unknown,poutcome_was_unknown,was_previously_contacted,effective_pdays,balance_per_contact,duration_per_contact,has_any_loan,month_num,quarter,age_group,balance_band,campaign_band,age_minmax,balance_minmax,day_minmax,duration_minmax,campaign_minmax,previous_minmax,balance_per_contact_minmax,duration_per_contact_minmax
58.0,management,married,tertiary,no,2143,yes,no,missing,5,261,1,0,missing,no,0,0,1,1,0,,2143.0,261.0,1,5,q2,51-65,very_high,1_contact,0.5194805194805194,0.09225936484302653,0.13333333333333333,0.05307035380235868,0.0,0.0,0.08249674234221006,0.05307035380235868
44.0,technician,single,secondary,no,29,yes,no,missing,5,151,1,0,missing,no,0,0,1,1,0,,29.0,151.0,1,5,q2,36-50,low,1_contact,0.33766233766233766,0.07306665698255044,0.13333333333333333,0.030703538023586822,0.0,0.0,0.06309761961568815,0.030703538023586822
33.0,entrepreneur,married,secondary,no,2,yes,yes,missing,5,76,1,0,missing,no,0,0,1,1,0,,2.0,76.0,1,5,q2,26-35,low,1_contact,0.19480519480519481,0.07282152779038731,0.13333333333333333,0.015453436356242375,0.0,0.0,0.06284985409363701,0.015453436356242375
47.0,blue-collar,married,secondary,no,1506,yes,no,missing,5,92,1,0,missing,no,0,1,1,1,0,,1506.0,92.0,1,5,q2,36-50,very_high,1_contact,0.37662337662337664,0.08647613167977049,0.13333333333333333,0.01870679137860919,0.0,0.0,0.0766513113219667,0.01870679137860919
39.0,blue-collar,single,secondary,no,1,no,no,missing,5,198,1,0,missing,no,1,1,0,1,0,,1.0,198.0,0,5,q2,36-50,low,1_contact,0.2727272727272727,0.0728124489314183,0.13333333333333333,0.04026026840178935,0.0,0.0,0.0628406775928203,0.04026026840178935
35.0,management,married,tertiary,no,231,yes,no,missing,5,139,1,0,missing,no,0,0,1,1,0,,231.0,139.0,1,5,q2,26-35,medium,1_contact,0.22077922077922077,0.07490058649428939,0.13333333333333333,0.028263521756811714,0.0,0.0,0.06495127278066327,0.028263521756811714
28.0,management,single,tertiary,no,447,yes,yes,missing,5,217,1,0,missing,no,0,0,1,1,0,,447.0,217.0,1,5,q2,26-35,medium,1_contact,0.12987012987012986,0.07686162003159443,0.13333333333333333,0.044123627490849936,0.0,0.0,0.06693339695707233,0.044123627490849936
42.0,entrepreneur,divorced,tertiary,yes,2,yes,no,missing,5,380,1,0,missing,no,0,0,1,1,0,,2.0,380.0,1,5,q2,36-50,low,1_contact,0.3116883116883117,0.07282152779038731,0.13333333333333333,0.07726718178121188,0.0,0.0,0.06284985409363701,0.07726718178121188
58.0,retired,married,primary,no,121,yes,no,missing,5,50,1,0,missing,no,0,0,1,1,0,,121.0,50.0,1,5,q2,51-65,medium,1_contact,0.5194805194805194,0.07390191200769887,0.13333333333333333,0.010166734444896299,0.0,0.0,0.06394185769082533,0.010166734444896299
43.0,technician,single,secondary,no,593,yes,no,missing,5,55,1,0,missing,no,0,0,1,1,0,,593.0,55.0,1,5,q2,36-50,high,1_contact,0.3246753246753247,0.07818713344106913,0.13333333333333333,0.011183407889385929,0.0,0.0,0.06827316607631179,0.011183407889385929
